sample_id,label,label_name,image_path,mode,width,height,array_shape,dtype,min_pixel,max_pixel,mean_pixel,std_pixel
1-2,1,inclusion,Heat 1 images/imgs/00002.TIF,L,128,128,"(128, 128)",uint8,2.0,236.0,191.8880615234375,34.026036518873525
1-3,1,inclusion,Heat 1 images/imgs/00003.TIF,L,128,128,"(128, 128)",uint8,57.0,239.0,198.50079345703125,20.208686018179495
1-6,1,inclusion,Heat 1 images/imgs/00006.TIF,L,128,128,"(128, 128)",uint8,26.0,240.0,194.78076171875,30.42659392981384
1-10,1,inclusion,Heat 1 images/imgs/00010.TIF,L,128,128,"(128, 128)",uint8,26.0,247.0,193.34405517578125,31.375429490973495
1-11,1,inclusion,Heat 1 images/imgs/00011.TIF,L,128,128,"(128, 128)",uint8,26.0,241.0,199.20721435546875,22.354823396873858
1-12,1,inclusion,Heat 1 images/imgs/00012.TIF,L,128,128,"(128, 128)",uint8,41.0,235.0,194.16973876953125,27.67592537727328
1-15,1,inclusion,Heat 1 images/imgs/00015.TIF,L,128,128,"(128, 128)",uint8,31.0,238.0,193.09112548828125,33.57171238431124
1-19,1,inclusion,Heat 1 images/imgs/00019.TIF,L,128,128,"(128, 128)",uint8,65.0,237.0,201.0155029296875,16.965965871132155
1-20,1,inclusion,Heat 1 images/imgs/00020.TIF,L,128,128,"(128, 128)",uint8,28.0,233.0,192.33099365234375,27.407528322149954
1-21,1,inclusion,Heat 1 images/imgs/00021.TIF,L,128,128,"(128, 128)",uint8,42.0,237.0,196.24578857421875,28.60245684698807
1-24,1,inclusion,Heat 1 images/imgs/00024.TIF,L,128,128,"(128, 128)",uint8,42.0,240.0,190.50213623046875,32.1844164986472
1-25,1,inclusion,Heat 1 images/imgs/00025.TIF,L,128,128,"(128, 128)",uint8,56.0,243.0,197.557861328125,24.06546393507629
1-27,1,inclusion,Heat 1 images/imgs/00027.TIF,L,128,128,"(128, 128)",uint8,39.0,240.0,198.9866943359375,23.943602227061437
1-28,1,inclusion,Heat 1 images/imgs/00028.TIF,L,128,128,"(128, 128)",uint8,52.0,238.0,196.59661865234375,25.166701357524623
1-30,1,inclusion,Heat 1 images/imgs/00030.TIF,L,128,128,"(128, 128)",uint8,27.0,236.0,196.73175048828125,25.463064984992112
1-33,1,inclusion,Heat 1 images/imgs/00033.TIF,L,128,128,"(128, 128)",uint8,54.0,237.0,194.74700927734375,19.627413816793492
1-35,1,inclusion,Heat 1 images/imgs/00035.TIF,L,128,128,"(128, 128)",uint8,35.0,236.0,199.79779052734375,17.96692089878158
1-36,1,inclusion,Heat 1 images/imgs/00036.TIF,L,128,128,"(128, 128)",uint8,0.0,232.0,188.3597412109375,40.12526595671474
1-37,1,inclusion,Heat 1 images/imgs/00037.TIF,L,128,128,"(128, 128)",uint8,27.0,236.0,196.2646484375,26.424155454393738
1-38,1,inclusion,Heat 1 images/imgs/00038.TIF,L,128,128,"(128, 128)",uint8,20.0,241.0,188.8399658203125,37.52041468277745
1-42,1,inclusion,Heat 1 images/imgs/00042.TIF,L,128,128,"(128, 128)",uint8,25.0,236.0,199.23614501953125,22.45690501154866
1-43,1,inclusion,Heat 1 images/imgs/00043.TIF,L,128,128,"(128, 128)",uint8,34.0,240.0,186.7254638671875,41.68583463959047
1-45,1,inclusion,Heat 1 images/imgs/00045.TIF,L,128,128,"(128, 128)",uint8,36.0,239.0,195.18658447265625,28.063092250922427
1-46,1,inclusion,Heat 1 images/imgs/00046.TIF,L,128,128,"(128, 128)",uint8,40.0,234.0,198.6187744140625,17.630413316007417
1-47,1,inclusion,Heat 1 images/imgs/00047.TIF,L,128,128,"(128, 128)",uint8,74.0,247.0,199.7137451171875,16.19649293326733
1-48,1,inclusion,Heat 1 images/imgs/00048.TIF,L,128,128,"(128, 128)",uint8,35.0,235.0,193.9127197265625,26.55372923810785
1-50,1,inclusion,Heat 1 images/imgs/00050.TIF,L,128,128,"(128, 128)",uint8,38.0,235.0,191.9752197265625,27.69993012810882
1-55,1,inclusion,Heat 1 images/imgs/00055.TIF,L,128,128,"(128, 128)",uint8,32.0,239.0,196.05230712890625,28.66684025617158
1-56,1,inclusion,Heat 1 images/imgs/00056.TIF,L,128,128,"(128, 128)",uint8,43.0,234.0,194.334716796875,31.417152970928193
1-57,1,inclusion,Heat 1 images/imgs/00057.TIF,L,128,128,"(128, 128)",uint8,0.0,234.0,181.3353271484375,49.160409193483204
1-58,1,inclusion,Heat 1 images/imgs/00058.TIF,L,128,128,"(128, 128)",uint8,36.0,236.0,189.58245849609375,33.22526706431206
1-59,1,inclusion,Heat 1 images/imgs/00059.TIF,L,128,128,"(128, 128)",uint8,25.0,237.0,189.88531494140625,33.11159765978424
1-60,1,inclusion,Heat 1 images/imgs/00060.TIF,L,128,128,"(128, 128)",uint8,27.0,230.0,195.64794921875,20.285558110749843
1-63,1,inclusion,Heat 1 images/imgs/00063.TIF,L,128,128,"(128, 128)",uint8,37.0,236.0,190.1766357421875,34.73652646016448
1-64,0,non-inclusion,Heat 1 images/imgs/00064.TIF,L,128,128,"(128, 128)",uint8,67.0,235.0,200.77154541015625,15.219323282464321
1-66,1,inclusion,Heat 1 images/imgs/00066.TIF,L,128,128,"(128, 128)",uint8,19.0,238.0,192.7340087890625,32.5779271673238
1-68,1,inclusion,Heat 1 images/imgs/00068.TIF,L,128,128,"(128, 128)",uint8,29.0,233.0,191.66473388671875,30.21181872506609
1-77,1,inclusion,Heat 1 images/imgs/00077.TIF,L,128,128,"(128, 128)",uint8,92.0,237.0,198.5948486328125,17.15108821559265
1-80,1,inclusion,Heat 1 images/imgs/00080.TIF,L,128,128,"(128, 128)",uint8,49.0,233.0,195.13092041015625,20.722511818712356
1-90,1,inclusion,Heat 1 images/imgs/00090.TIF,L,128,128,"(128, 128)",uint8,27.0,243.0,190.802978515625,39.057901303249544
1-91,1,inclusion,Heat 1 images/imgs/00091.TIF,L,128,128,"(128, 128)",uint8,23.0,236.0,197.5086669921875,21.010421011826107
1-98,1,inclusion,Heat 1 images/imgs/00098.TIF,L,128,128,"(128, 128)",uint8,62.0,235.0,198.84173583984375,17.905992003337285
1-99,1,inclusion,Heat 1 images/imgs/00099.TIF,L,128,128,"(128, 128)",uint8,34.0,237.0,193.925537109375,25.854516107045637
1-100,1,inclusion,Heat 1 images/imgs/00100.TIF,L,128,128,"(128, 128)",uint8,16.0,242.0,196.94012451171875,30.80388827082848
1-101,1,inclusion,Heat 1 images/imgs/00101.TIF,L,128,128,"(128, 128)",uint8,50.0,239.0,198.1002197265625,23.05425125499162
1-103,1,inclusion,Heat 1 images/imgs/00103.TIF,L,128,128,"(128, 128)",uint8,36.0,239.0,194.3338623046875,29.49229798529942
1-104,1,inclusion,Heat 1 images/imgs/00104.TIF,L,128,128,"(128, 128)",uint8,20.0,232.0,195.44232177734375,24.172894459351443
1-114,1,inclusion,Heat 1 images/imgs/00114.TIF,L,128,128,"(128, 128)",uint8,21.0,242.0,200.72015380859375,19.866082882577448
1-116,1,inclusion,Heat 1 images/imgs/00116.TIF,L,128,128,"(128, 128)",uint8,54.0,235.0,190.80517578125,30.280216097035428
1-118,1,inclusion,Heat 1 images/imgs/00118.TIF,L,128,128,"(128, 128)",uint8,21.0,233.0,194.7293701171875,25.86713208227463
1-119,1,inclusion,Heat 1 images/imgs/00119.TIF,L,128,128,"(128, 128)",uint8,39.0,237.0,195.1705322265625,29.012338613193158
1-120,1,inclusion,Heat 1 images/imgs/00120.TIF,L,128,128,"(128, 128)",uint8,70.0,244.0,194.48883056640625,27.645166780786532
1-121,1,inclusion,Heat 1 images/imgs/00121.TIF,L,128,128,"(128, 128)",uint8,14.0,238.0,191.295166015625,30.626632786061915
1-122,1,inclusion,Heat 1 images/imgs/00122.TIF,L,128,128,"(128, 128)",uint8,53.0,238.0,198.6500244140625,21.755091616214184
1-123,1,inclusion,Heat 1 images/imgs/00123.TIF,L,128,128,"(128, 128)",uint8,20.0,241.0,189.34552001953125,41.56468730379427
1-124,1,inclusion,Heat 1 images/imgs/00124.TIF,L,128,128,"(128, 128)",uint8,57.0,238.0,199.32635498046875,16.557026623470684
1-126,1,inclusion,Heat 1 images/imgs/00126.TIF,L,128,128,"(128, 128)",uint8,23.0,236.0,197.3797607421875,25.11390449075732
1-127,1,inclusion,Heat 1 images/imgs/00127.TIF,L,128,128,"(128, 128)",uint8,47.0,239.0,199.07391357421875,23.44566978789639
1-129,1,inclusion,Heat 1 images/imgs/00129.TIF,L,128,128,"(128, 128)",uint8,50.0,237.0,196.0894775390625,26.981055304277913
1-130,1,inclusion,Heat 1 images/imgs/00130.TIF,L,128,128,"(128, 128)",uint8,52.0,241.0,197.0906982421875,24.738684605620488
1-134,1,inclusion,Heat 1 images/imgs/00134.TIF,L,128,128,"(128, 128)",uint8,60.0,239.0,194.28961181640625,28.64459361988125
1-135,1,inclusion,Heat 1 images/imgs/00135.TIF,L,128,128,"(128, 128)",uint8,38.0,239.0,191.36383056640625,35.60103035281745
1-138,1,inclusion,Heat 1 images/imgs/00138.TIF,L,128,128,"(128, 128)",uint8,16.0,227.0,188.968505859375,35.55883534108533
1-146,1,inclusion,Heat 1 images/imgs/00146.TIF,L,128,128,"(128, 128)",uint8,16.0,231.0,191.0843505859375,31.377857022840796
1-157,1,inclusion,Heat 1 images/imgs/00157.TIF,L,128,128,"(128, 128)",uint8,27.0,232.0,192.78375244140625,27.198698792356016
1-160,1,inclusion,Heat 1 images/imgs/00160.TIF,L,128,128,"(128, 128)",uint8,41.0,235.0,196.96051025390625,26.26973245756387
1-168,1,inclusion,Heat 1 images/imgs/00168.TIF,L,128,128,"(128, 128)",uint8,17.0,237.0,196.59832763671875,22.075533942882497
1-170,1,inclusion,Heat 1 images/imgs/00170.TIF,L,128,128,"(128, 128)",uint8,36.0,238.0,196.345703125,24.816519000978516
1-171,1,inclusion,Heat 1 images/imgs/00171.TIF,L,128,128,"(128, 128)",uint8,27.0,235.0,198.062255859375,18.312510830547268
1-172,1,inclusion,Heat 1 images/imgs/00172.TIF,L,128,128,"(128, 128)",uint8,0.0,234.0,187.44464111328125,44.95618919695497
1-174,1,inclusion,Heat 1 images/imgs/00174.TIF,L,128,128,"(128, 128)",uint8,23.0,240.0,191.531005859375,38.913467460115875
1-175,1,inclusion,Heat 1 images/imgs/00175.TIF,L,128,128,"(128, 128)",uint8,0.0,231.0,187.71954345703125,38.27509062548676
1-177,1,inclusion,Heat 1 images/imgs/00177.TIF,L,128,128,"(128, 128)",uint8,34.0,235.0,198.32318115234375,24.174604115032597
1-180,1,inclusion,Heat 1 images/imgs/00180.TIF,L,128,128,"(128, 128)",uint8,34.0,235.0,195.96563720703125,29.580914395003973
1-181,1,inclusion,Heat 1 images/imgs/00181.TIF,L,128,128,"(128, 128)",uint8,42.0,245.0,198.6490478515625,24.697132744361888
1-182,1,inclusion,Heat 1 images/imgs/00182.TIF,L,128,128,"(128, 128)",uint8,40.0,236.0,196.46722412109375,24.977399940206183
1-185,1,inclusion,Heat 1 images/imgs/00185.TIF,L,128,128,"(128, 128)",uint8,43.0,237.0,196.44781494140625,17.77774051924652
1-187,1,inclusion,Heat 1 images/imgs/00187.TIF,L,128,128,"(128, 128)",uint8,31.0,239.0,198.1866455078125,25.602943105841874
1-190,1,inclusion,Heat 1 images/imgs/00190.TIF,L,128,128,"(128, 128)",uint8,39.0,232.0,198.01348876953125,15.565343182375639
1-191,1,inclusion,Heat 1 images/imgs/00191.TIF,L,128,128,"(128, 128)",uint8,57.0,237.0,199.28424072265625,16.865867195449887
1-192,1,inclusion,Heat 1 images/imgs/00192.TIF,L,128,128,"(128, 128)",uint8,37.0,241.0,197.8056640625,25.716508714393143
1-195,1,inclusion,Heat 1 images/imgs/00195.TIF,L,128,128,"(128, 128)",uint8,26.0,230.0,195.01629638671875,22.57891792625919
1-198,1,inclusion,Heat 1 images/imgs/00198.TIF,L,128,128,"(128, 128)",uint8,67.0,242.0,196.9061279296875,23.076765078145492
1-201,1,inclusion,Heat 1 images/imgs/00201.TIF,L,128,128,"(128, 128)",uint8,38.0,235.0,200.42626953125,21.3201893054706
1-202,1,inclusion,Heat 1 images/imgs/00202.TIF,L,128,128,"(128, 128)",uint8,47.0,235.0,196.3017578125,19.901432694087195
1-208,1,inclusion,Heat 1 images/imgs/00208.TIF,L,128,128,"(128, 128)",uint8,31.0,234.0,192.54071044921875,29.503246939345708
1-209,1,inclusion,Heat 1 images/imgs/00209.TIF,L,128,128,"(128, 128)",uint8,27.0,238.0,195.97528076171875,27.976331231491066
1-210,1,inclusion,Heat 1 images/imgs/00210.TIF,L,128,128,"(128, 128)",uint8,2.0,237.0,198.6595458984375,24.963399657299117
1-211,1,inclusion,Heat 1 images/imgs/00211.TIF,L,128,128,"(128, 128)",uint8,71.0,238.0,197.1500244140625,16.488438554224448
1-218,1,inclusion,Heat 1 images/imgs/00218.TIF,L,128,128,"(128, 128)",uint8,23.0,234.0,196.37103271484375,20.774639885235903
1-219,1,inclusion,Heat 1 images/imgs/00219.TIF,L,128,128,"(128, 128)",uint8,63.0,237.0,198.6427001953125,21.056564977375707
1-221,0,non-inclusion,Heat 1 images/imgs/00221.TIF,L,128,128,"(128, 128)",uint8,51.0,245.0,193.09613037109375,23.49254680816417
1-222,1,inclusion,Heat 1 images/imgs/00222.TIF,L,128,128,"(128, 128)",uint8,30.0,239.0,199.6531982421875,20.83395787665904
1-223,1,inclusion,Heat 1 images/imgs/00223.TIF,L,128,128,"(128, 128)",uint8,34.0,241.0,190.9400634765625,35.400425607598216
1-224,1,inclusion,Heat 1 images/imgs/00224.TIF,L,128,128,"(128, 128)",uint8,26.0,234.0,191.3216552734375,29.62150443832584
1-226,1,inclusion,Heat 1 images/imgs/00226.TIF,L,128,128,"(128, 128)",uint8,40.0,237.0,191.88018798828125,37.17339856146047
1-228,1,inclusion,Heat 1 images/imgs/00228.TIF,L,128,128,"(128, 128)",uint8,56.0,236.0,198.6861572265625,23.33101882123879
1-229,1,inclusion,Heat 1 images/imgs/00229.TIF,L,128,128,"(128, 128)",uint8,23.0,234.0,188.09649658203125,37.287544685895114
1-230,1,inclusion,Heat 1 images/imgs/00230.TIF,L,128,128,"(128, 128)",uint8,25.0,229.0,184.419189453125,39.95436163425498
1-232,1,inclusion,Heat 1 images/imgs/00232.TIF,L,128,128,"(128, 128)",uint8,52.0,244.0,199.87896728515625,21.880728870541684
1-240,1,inclusion,Heat 1 images/imgs/00240.TIF,L,128,128,"(128, 128)",uint8,24.0,235.0,189.0863037109375,33.78235027853085
1-241,1,inclusion,Heat 1 images/imgs/00241.TIF,L,128,128,"(128, 128)",uint8,16.0,234.0,196.876708984375,28.893906731358882
1-244,1,inclusion,Heat 1 images/imgs/00244.TIF,L,128,128,"(128, 128)",uint8,41.0,245.0,189.42303466796875,33.499047971689286
1-245,1,inclusion,Heat 1 images/imgs/00245.TIF,L,128,128,"(128, 128)",uint8,48.0,240.0,198.06103515625,20.43727148435736
