sample_id,heat,part,image_path,label,label_name
1-2,1,2,Heat 1 images/imgs/00002.TIF,1,inclusion
1-3,1,3,Heat 1 images/imgs/00003.TIF,1,inclusion
1-6,1,6,Heat 1 images/imgs/00006.TIF,1,inclusion
1-10,1,10,Heat 1 images/imgs/00010.TIF,1,inclusion
1-11,1,11,Heat 1 images/imgs/00011.TIF,1,inclusion
1-12,1,12,Heat 1 images/imgs/00012.TIF,1,inclusion
1-15,1,15,Heat 1 images/imgs/00015.TIF,1,inclusion
1-19,1,19,Heat 1 images/imgs/00019.TIF,1,inclusion
1-20,1,20,Heat 1 images/imgs/00020.TIF,1,inclusion
1-21,1,21,Heat 1 images/imgs/00021.TIF,1,inclusion
1-24,1,24,Heat 1 images/imgs/00024.TIF,1,inclusion
1-25,1,25,Heat 1 images/imgs/00025.TIF,1,inclusion
1-27,1,27,Heat 1 images/imgs/00027.TIF,1,inclusion
1-28,1,28,Heat 1 images/imgs/00028.TIF,1,inclusion
1-30,1,30,Heat 1 images/imgs/00030.TIF,1,inclusion
1-33,1,33,Heat 1 images/imgs/00033.TIF,1,inclusion
1-35,1,35,Heat 1 images/imgs/00035.TIF,1,inclusion
1-36,1,36,Heat 1 images/imgs/00036.TIF,1,inclusion
1-37,1,37,Heat 1 images/imgs/00037.TIF,1,inclusion
1-38,1,38,Heat 1 images/imgs/00038.TIF,1,inclusion
1-42,1,42,Heat 1 images/imgs/00042.TIF,1,inclusion
1-43,1,43,Heat 1 images/imgs/00043.TIF,1,inclusion
1-45,1,45,Heat 1 images/imgs/00045.TIF,1,inclusion
1-46,1,46,Heat 1 images/imgs/00046.TIF,1,inclusion
1-47,1,47,Heat 1 images/imgs/00047.TIF,1,inclusion
1-48,1,48,Heat 1 images/imgs/00048.TIF,1,inclusion
1-50,1,50,Heat 1 images/imgs/00050.TIF,1,inclusion
1-55,1,55,Heat 1 images/imgs/00055.TIF,1,inclusion
1-56,1,56,Heat 1 images/imgs/00056.TIF,1,inclusion
1-57,1,57,Heat 1 images/imgs/00057.TIF,1,inclusion
1-58,1,58,Heat 1 images/imgs/00058.TIF,1,inclusion
1-59,1,59,Heat 1 images/imgs/00059.TIF,1,inclusion
1-60,1,60,Heat 1 images/imgs/00060.TIF,1,inclusion
1-63,1,63,Heat 1 images/imgs/00063.TIF,1,inclusion
1-64,1,64,Heat 1 images/imgs/00064.TIF,0,non-inclusion
1-66,1,66,Heat 1 images/imgs/00066.TIF,1,inclusion
1-68,1,68,Heat 1 images/imgs/00068.TIF,1,inclusion
1-77,1,77,Heat 1 images/imgs/00077.TIF,1,inclusion
1-80,1,80,Heat 1 images/imgs/00080.TIF,1,inclusion
1-90,1,90,Heat 1 images/imgs/00090.TIF,1,inclusion
1-91,1,91,Heat 1 images/imgs/00091.TIF,1,inclusion
1-98,1,98,Heat 1 images/imgs/00098.TIF,1,inclusion
1-99,1,99,Heat 1 images/imgs/00099.TIF,1,inclusion
1-100,1,100,Heat 1 images/imgs/00100.TIF,1,inclusion
1-101,1,101,Heat 1 images/imgs/00101.TIF,1,inclusion
1-103,1,103,Heat 1 images/imgs/00103.TIF,1,inclusion
1-104,1,104,Heat 1 images/imgs/00104.TIF,1,inclusion
1-114,1,114,Heat 1 images/imgs/00114.TIF,1,inclusion
1-116,1,116,Heat 1 images/imgs/00116.TIF,1,inclusion
1-118,1,118,Heat 1 images/imgs/00118.TIF,1,inclusion
1-119,1,119,Heat 1 images/imgs/00119.TIF,1,inclusion
1-120,1,120,Heat 1 images/imgs/00120.TIF,1,inclusion
1-121,1,121,Heat 1 images/imgs/00121.TIF,1,inclusion
1-122,1,122,Heat 1 images/imgs/00122.TIF,1,inclusion
1-123,1,123,Heat 1 images/imgs/00123.TIF,1,inclusion
1-124,1,124,Heat 1 images/imgs/00124.TIF,1,inclusion
1-126,1,126,Heat 1 images/imgs/00126.TIF,1,inclusion
1-127,1,127,Heat 1 images/imgs/00127.TIF,1,inclusion
1-129,1,129,Heat 1 images/imgs/00129.TIF,1,inclusion
1-130,1,130,Heat 1 images/imgs/00130.TIF,1,inclusion
1-134,1,134,Heat 1 images/imgs/00134.TIF,1,inclusion
1-135,1,135,Heat 1 images/imgs/00135.TIF,1,inclusion
1-138,1,138,Heat 1 images/imgs/00138.TIF,1,inclusion
1-146,1,146,Heat 1 images/imgs/00146.TIF,1,inclusion
1-157,1,157,Heat 1 images/imgs/00157.TIF,1,inclusion
1-160,1,160,Heat 1 images/imgs/00160.TIF,1,inclusion
1-168,1,168,Heat 1 images/imgs/00168.TIF,1,inclusion
1-170,1,170,Heat 1 images/imgs/00170.TIF,1,inclusion
1-171,1,171,Heat 1 images/imgs/00171.TIF,1,inclusion
1-172,1,172,Heat 1 images/imgs/00172.TIF,1,inclusion
1-174,1,174,Heat 1 images/imgs/00174.TIF,1,inclusion
1-175,1,175,Heat 1 images/imgs/00175.TIF,1,inclusion
1-177,1,177,Heat 1 images/imgs/00177.TIF,1,inclusion
1-180,1,180,Heat 1 images/imgs/00180.TIF,1,inclusion
1-181,1,181,Heat 1 images/imgs/00181.TIF,1,inclusion
1-182,1,182,Heat 1 images/imgs/00182.TIF,1,inclusion
1-185,1,185,Heat 1 images/imgs/00185.TIF,1,inclusion
1-187,1,187,Heat 1 images/imgs/00187.TIF,1,inclusion
1-190,1,190,Heat 1 images/imgs/00190.TIF,1,inclusion
1-191,1,191,Heat 1 images/imgs/00191.TIF,1,inclusion
1-192,1,192,Heat 1 images/imgs/00192.TIF,1,inclusion
1-195,1,195,Heat 1 images/imgs/00195.TIF,1,inclusion
