feature,importance,test_heat
image_h,0.0,1
image_w,0.0,1
image_area,0.0,1
particle_area,0.02292136747843302,1
particle_area_fraction,0.022803304567780548,1
bbox_x,0.020168752531052353,1
bbox_y,0.020131368401519727,1
bbox_w,0.02408659596258312,1
bbox_h,0.023617113579057148,1
bbox_aspect,0.025442120098010623,1
bbox_extent,0.023226812805723616,1
particle_mean_intensity,0.024719638794498743,1
particle_std_intensity,0.030284606424750952,1
particle_min_intensity,0.0025254991504919146,1
particle_max_intensity,0.021630297295913377,1
phase_1_area,0.02935641832887681,1
phase_1_area_fraction_image,0.029723900092889517,1
phase_1_area_fraction_particle,0.030504391832923094,1
phase_1_mean_intensity,0.023749063060931903,1
phase_1_std_intensity,0.0233531569106475,1
phase_1_min_intensity,0.0024063035554650505,1
phase_1_max_intensity,0.023047101017610747,1
phase_1_num_regions,0.023618378535598453,1
phase_1_largest_region_area,0.03065869023232593,1
phase_2_area,0.023631995087053298,1
phase_2_area_fraction_image,0.02328604717917122,1
phase_2_area_fraction_particle,0.03164073078361649,1
phase_2_mean_intensity,0.0255185447820801,1
phase_2_std_intensity,0.02599741756116424,1
phase_2_min_intensity,0.02322703693856329,1
phase_2_max_intensity,0.026003221094681367,1
phase_2_num_regions,0.04969405299347971,1
phase_2_largest_region_area,0.03035533335472734,1
phase_3_area,0.021232435557102063,1
phase_3_area_fraction_image,0.021362168139679158,1
phase_3_area_fraction_particle,0.02264818407016958,1
phase_3_mean_intensity,0.028837913972158763,1
phase_3_std_intensity,0.024587679718985414,1
phase_3_min_intensity,0.024636537869257687,1
phase_3_max_intensity,0.021280208634349422,1
phase_3_num_regions,0.028385089305325652,1
phase_3_largest_region_area,0.025516278321082754,1
total_phase_regions,0.04418424398026839,1
image_h,0.0,2
image_w,0.0,2
image_area,0.0,2
particle_area,0.023720289052970873,2
particle_area_fraction,0.02333289262158828,2
bbox_x,0.019233997192781304,2
bbox_y,0.019594133948834653,2
bbox_w,0.023631755886971334,2
bbox_h,0.022225780010097916,2
bbox_aspect,0.02362731417362857,2
bbox_extent,0.022051674126387925,2
particle_mean_intensity,0.02461498215531622,2
particle_std_intensity,0.03191164251383078,2
particle_min_intensity,0.002329448482685062,2
particle_max_intensity,0.020935037522180816,2
phase_1_area,0.030950208433196087,2
phase_1_area_fraction_image,0.03091686634942629,2
phase_1_area_fraction_particle,0.029895821329118614,2
phase_1_mean_intensity,0.023421975897677187,2
phase_1_std_intensity,0.02300418541070842,2
phase_1_min_intensity,0.0022453458105304775,2
phase_1_max_intensity,0.02294233390794972,2
phase_1_num_regions,0.023314646077961198,2
phase_1_largest_region_area,0.03182779745885625,2
phase_2_area,0.02415278802229317,2
phase_2_area_fraction_image,0.024269096878315004,2
phase_2_area_fraction_particle,0.03150798411172655,2
phase_2_mean_intensity,0.02666893320953197,2
phase_2_std_intensity,0.026552196537933878,2
phase_2_min_intensity,0.022706441087708615,2
phase_2_max_intensity,0.02798947594914981,2
phase_2_num_regions,0.04947499453744476,2
phase_2_largest_region_area,0.029314388385516137,2
phase_3_area,0.021343500668203216,2
phase_3_area_fraction_image,0.02199732154357349,2
phase_3_area_fraction_particle,0.02249532773396562,2
phase_3_mean_intensity,0.029096983472671225,2
phase_3_std_intensity,0.023415047622627205,2
phase_3_min_intensity,0.02630975704931009,2
phase_3_max_intensity,0.02107409025397208,2
phase_3_num_regions,0.02703714595945213,2
phase_3_largest_region_area,0.024211801177450015,2
total_phase_regions,0.044654597436456944,2
image_h,0.0,3
image_w,0.0,3
image_area,0.0,3
particle_area,0.02266287639427823,3
particle_area_fraction,0.02236766012921015,3
bbox_x,0.018607548837979764,3
bbox_y,0.018804142416664133,3
bbox_w,0.02226925252565744,3
bbox_h,0.02069473938653938,3
bbox_aspect,0.02220401868162217,3
bbox_extent,0.022808374672504156,3
particle_mean_intensity,0.0241396030764324,3
particle_std_intensity,0.03259483961188546,3
particle_min_intensity,0.0025934611395593866,3
particle_max_intensity,0.020524033690893072,3
phase_1_area,0.03069487086123299,3
phase_1_area_fraction_image,0.02995528340942924,3
phase_1_area_fraction_particle,0.030403611947392495,3
phase_1_mean_intensity,0.023409048623887124,3
phase_1_std_intensity,0.023836240292908654,3
phase_1_min_intensity,0.0025761987781508632,3
phase_1_max_intensity,0.023318727929462563,3
phase_1_num_regions,0.024618970606445634,3
phase_1_largest_region_area,0.030944268934309255,3
phase_2_area,0.022486409462628615,3
phase_2_area_fraction_image,0.02239536918201581,3
phase_2_area_fraction_particle,0.030562863813739776,3
phase_2_mean_intensity,0.026038530192840477,3
phase_2_std_intensity,0.02750356222309394,3
phase_2_min_intensity,0.02311749476270008,3
phase_2_max_intensity,0.028479712728869944,3
phase_2_num_regions,0.05240598577007647,3
phase_2_largest_region_area,0.026411188565004948,3
phase_3_area,0.021709557229331836,3
phase_3_area_fraction_image,0.021808207077464555,3
phase_3_area_fraction_particle,0.023184275878518096,3
phase_3_mean_intensity,0.030257185636562805,3
phase_3_std_intensity,0.02269700575940737,3
phase_3_min_intensity,0.02708944992768439,3
phase_3_max_intensity,0.020623807698243398,3
phase_3_num_regions,0.03000836046974861,3
phase_3_largest_region_area,0.025339283618959627,3
total_phase_regions,0.04785397805666448,3
image_h,0.0,4
image_w,0.0,4
image_area,0.0,4
particle_area,0.023120901315994934,4
particle_area_fraction,0.023087141761154725,4
bbox_x,0.019944143341579342,4
bbox_y,0.020163580410599426,4
bbox_w,0.024150276049068234,4
bbox_h,0.022643235321272544,4
bbox_aspect,0.024620204507271416,4
bbox_extent,0.022494851935823526,4
particle_mean_intensity,0.024718400282315738,4
particle_std_intensity,0.031001456730978993,4
particle_min_intensity,0.0023323074812352158,4
particle_max_intensity,0.021316273565400678,4
phase_1_area,0.030478726199765528,4
phase_1_area_fraction_image,0.03009653044802557,4
phase_1_area_fraction_particle,0.029302066347641046,4
phase_1_mean_intensity,0.023663191591531057,4
phase_1_std_intensity,0.023308835170305426,4
phase_1_min_intensity,0.002276036339708569,4
phase_1_max_intensity,0.0226688412894608,4
phase_1_num_regions,0.023668791305224444,4
phase_1_largest_region_area,0.030620152039216243,4
phase_2_area,0.023088810310206893,4
phase_2_area_fraction_image,0.02375481628016079,4
phase_2_area_fraction_particle,0.031129895031578782,4
phase_2_mean_intensity,0.025684326392815485,4
phase_2_std_intensity,0.026756836700154468,4
phase_2_min_intensity,0.022639577111205133,4
phase_2_max_intensity,0.027532508767469287,4
phase_2_num_regions,0.0495276999987599,4
phase_2_largest_region_area,0.029226592820586195,4
phase_3_area,0.021424368494854157,4
phase_3_area_fraction_image,0.02188373192568379,4
phase_3_area_fraction_particle,0.022814599446133173,4
phase_3_mean_intensity,0.029363913019032704,4
phase_3_std_intensity,0.024428247331399134,4
phase_3_min_intensity,0.026172982034375715,4
phase_3_max_intensity,0.021253359324175887,4
phase_3_num_regions,0.027452254993475065,4
phase_3_largest_region_area,0.024136801323163374,4
total_phase_regions,0.04605273526119657,4
