feature,importance
phase_2_num_regions,0.05027568332494021
total_phase_regions,0.04568638868364659
particle_std_intensity,0.031448136320361544
phase_2_area_fraction_particle,0.0312103684351654
phase_1_largest_region_area,0.03101272716617692
phase_1_area,0.030370055955767854
phase_1_area_fraction_image,0.030173145074942655
phase_1_area_fraction_particle,0.03002647286426881
phase_3_mean_intensity,0.029388999025106374
phase_2_largest_region_area,0.028826875781458657
phase_3_num_regions,0.028220712682000364
phase_2_max_intensity,0.027501229635042604
phase_2_std_intensity,0.02670250325558663
phase_3_min_intensity,0.02605218172015697
phase_2_mean_intensity,0.025977583644317008
phase_3_largest_region_area,0.024801041110163943
particle_mean_intensity,0.024548156077140774
bbox_aspect,0.023973414365133193
phase_1_num_regions,0.02380519663130743
phase_3_std_intensity,0.023781995108104782
phase_1_mean_intensity,0.02356081979350682
bbox_w,0.023534470106070033
phase_2_area_fraction_image,0.023426332379915704
phase_1_std_intensity,0.0233756044461425
phase_2_area,0.023340000720545494
particle_area,0.023106358560419264
phase_1_max_intensity,0.022994251036120957
phase_2_min_intensity,0.022922637475044277
particle_area_fraction,0.022897749769933425
phase_3_area_fraction_particle,0.022785596782196618
bbox_extent,0.022645428385109807
bbox_h,0.022295217074241747
phase_3_area_fraction_image,0.021762857171600248
phase_3_area,0.02142746548737282
particle_max_intensity,0.021101410518596986
phase_3_max_intensity,0.0210578664776852
bbox_y,0.019673306294404485
bbox_x,0.01948861047584819
particle_min_intensity,0.0024451790634928946
phase_1_min_intensity,0.00237597112096374
image_h,0.0
image_area,0.0
image_w,0.0
