feature,importance,test_heat
image_h,0.0,1
image_w,0.0,1
image_area,0.0,1
particle_area,0.021332931133908196,1
particle_area_fraction,0.021544519009170843,1
bbox_x,0.017515997338865042,1
bbox_y,0.017610034984563008,1
bbox_w,0.02273595481597213,1
bbox_h,0.024127185906655975,1
bbox_aspect,0.027835520229964997,1
bbox_extent,0.021584455856583713,1
particle_mean_intensity,0.025379756926850502,1
particle_std_intensity,0.02851900610975366,1
particle_min_intensity,0.0024771429053547346,1
particle_max_intensity,0.020383826609307973,1
phase_1_area,0.03035614642883734,1
phase_1_area_fraction_image,0.03023964926809959,1
phase_1_area_fraction_particle,0.03347140005807202,1
phase_1_mean_intensity,0.021739074541668697,1
phase_1_std_intensity,0.021519014942323018,1
phase_1_min_intensity,0.0024513991486114846,1
phase_1_max_intensity,0.022209968773141672,1
phase_1_num_regions,0.024534042238259564,1
phase_1_largest_region_area,0.03103136854350869,1
phase_2_area,0.02204084076577363,1
phase_2_area_fraction_image,0.022247944527798012,1
phase_2_area_fraction_particle,0.032875507233495624,1
phase_2_mean_intensity,0.024664817619160388,1
phase_2_std_intensity,0.023904003397737236,1
phase_2_min_intensity,0.021541268264844086,1
phase_2_max_intensity,0.026502153931097984,1
phase_2_num_regions,0.057261248898514076,1
phase_2_largest_region_area,0.03246007533216629,1
phase_3_area,0.020659186331092216,1
phase_3_area_fraction_image,0.020721873427750555,1
phase_3_area_fraction_particle,0.021738411087709103,1
phase_3_mean_intensity,0.029502862194294294,1
phase_3_std_intensity,0.023019167938658876,1
phase_3_min_intensity,0.02515397436649439,1
phase_3_max_intensity,0.020066168460463732,1
phase_3_num_regions,0.029390739464019072,1
phase_3_largest_region_area,0.02609377984261232,1
total_phase_regions,0.051557581146845256,1
image_h,0.0,2
image_w,0.0,2
image_area,0.0,2
particle_area,0.021032183049578136,2
particle_area_fraction,0.020995046166842755,2
bbox_x,0.016804251484235082,2
bbox_y,0.017436142237888034,2
bbox_w,0.023186580335184715,2
bbox_h,0.02202440642868286,2
bbox_aspect,0.025553938936125113,2
bbox_extent,0.02113112790721673,2
particle_mean_intensity,0.025001225893135793,2
particle_std_intensity,0.03282282000415748,2
particle_min_intensity,0.0024601573076092863,2
particle_max_intensity,0.020855061644877503,2
phase_1_area,0.030058623330057835,2
phase_1_area_fraction_image,0.03005640304942754,2
phase_1_area_fraction_particle,0.032463629210017275,2
phase_1_mean_intensity,0.021375379550419828,2
phase_1_std_intensity,0.021152255379237313,2
phase_1_min_intensity,0.002426879829319879,2
phase_1_max_intensity,0.021846966638953212,2
phase_1_num_regions,0.0237570363429685,2
phase_1_largest_region_area,0.030725621466935853,2
phase_2_area,0.021882842249364803,2
phase_2_area_fraction_image,0.02213615040377047,2
phase_2_area_fraction_particle,0.03391284462066806,2
phase_2_mean_intensity,0.025159886919703355,2
phase_2_std_intensity,0.02519110154343437,2
phase_2_min_intensity,0.020876394148331836,2
phase_2_max_intensity,0.028698059934941192,2
phase_2_num_regions,0.0585918606931927,2
phase_2_largest_region_area,0.03109447418783617,2
phase_3_area,0.020940506465333276,2
phase_3_area_fraction_image,0.020616545819682794,2
phase_3_area_fraction_particle,0.021546791183614855,2
phase_3_mean_intensity,0.032245338052838114,2
phase_3_std_intensity,0.022532216464555423,2
phase_3_min_intensity,0.026578381660006013,2
phase_3_max_intensity,0.02046939316749331,2
phase_3_num_regions,0.029220835495575026,2
phase_3_largest_region_area,0.023994842911929905,2
total_phase_regions,0.05114579788485773,2
image_h,0.0,3
image_w,0.0,3
image_area,0.0,3
particle_area,0.020534433054035496,3
particle_area_fraction,0.02044975617195174,3
bbox_x,0.01577806211032771,3
bbox_y,0.01588865150893543,3
bbox_w,0.020663094909659292,3
bbox_h,0.019824370869544496,3
bbox_aspect,0.022982530908797965,3
bbox_extent,0.021109074155339004,3
particle_mean_intensity,0.024822796195180234,3
particle_std_intensity,0.033443435804899856,3
particle_min_intensity,0.002672871356722803,3
particle_max_intensity,0.020002801411986012,3
phase_1_area,0.030968176125820725,3
phase_1_area_fraction_image,0.02998765888182873,3
phase_1_area_fraction_particle,0.031737242096552,3
phase_1_mean_intensity,0.021325796035372116,3
phase_1_std_intensity,0.02151781144052384,3
phase_1_min_intensity,0.0026304819612486432,3
phase_1_max_intensity,0.022433523514056627,3
phase_1_num_regions,0.024398084245891533,3
phase_1_largest_region_area,0.03166188411880949,3
phase_2_area,0.020824864648708072,3
phase_2_area_fraction_image,0.020246638490306324,3
phase_2_area_fraction_particle,0.03161172253888081,3
phase_2_mean_intensity,0.024420853857477463,3
phase_2_std_intensity,0.026552945988226034,3
phase_2_min_intensity,0.021639356716791215,3
phase_2_max_intensity,0.029428082158774745,3
phase_2_num_regions,0.06234098490223174,3
phase_2_largest_region_area,0.025217149579141424,3
phase_3_area,0.02067605652461302,3
phase_3_area_fraction_image,0.0213622219876806,3
phase_3_area_fraction_particle,0.022511675224155002,3
phase_3_mean_intensity,0.03282234847124314,3
phase_3_std_intensity,0.02150653149376202,3
phase_3_min_intensity,0.02874945345767503,3
phase_3_max_intensity,0.020544046014161,3
phase_3_num_regions,0.031739907261743916,3
phase_3_largest_region_area,0.026024177771287536,3
total_phase_regions,0.056948446035657165,3
image_h,0.0,4
image_w,0.0,4
image_area,0.0,4
particle_area,0.020950924042899943,4
particle_area_fraction,0.021164004693494186,4
bbox_x,0.017080499989416128,4
bbox_y,0.017386831817273567,4
bbox_w,0.022778914279277224,4
bbox_h,0.02248342440638646,4
bbox_aspect,0.027110174185687057,4
bbox_extent,0.020961817266261385,4
particle_mean_intensity,0.024345789289210922,4
particle_std_intensity,0.031081978519789735,4
particle_min_intensity,0.0024515798051110795,4
particle_max_intensity,0.020500488778625432,4
phase_1_area,0.030349461232101357,4
phase_1_area_fraction_image,0.030478558906093987,4
phase_1_area_fraction_particle,0.03218199060850528,4
phase_1_mean_intensity,0.021735725392230888,4
phase_1_std_intensity,0.021135931440425842,4
phase_1_min_intensity,0.002483148281452185,4
phase_1_max_intensity,0.02205288347799276,4
phase_1_num_regions,0.022976174528848824,4
phase_1_largest_region_area,0.03116050626216937,4
phase_2_area,0.022230254731548677,4
phase_2_area_fraction_image,0.021932923534391073,4
phase_2_area_fraction_particle,0.032216331021116,4
phase_2_mean_intensity,0.025326554461838572,4
phase_2_std_intensity,0.024642386271616697,4
phase_2_min_intensity,0.02121604995597532,4
phase_2_max_intensity,0.028090627974685704,4
phase_2_num_regions,0.05731222203493513,4
phase_2_largest_region_area,0.03140717918640108,4
phase_3_area,0.02100107505341861,4
phase_3_area_fraction_image,0.020971253702194152,4
phase_3_area_fraction_particle,0.021394803866887645,4
phase_3_mean_intensity,0.032158350741760613,4
phase_3_std_intensity,0.02320607832152706,4
phase_3_min_intensity,0.026014548457988788,4
phase_3_max_intensity,0.020909799248272774,4
phase_3_num_regions,0.028547002429366766,4
phase_3_largest_region_area,0.024008134809889007,4
total_phase_regions,0.05456361699293256,4
