feature,importance
phase_2_num_regions,0.058876579132218415
total_phase_regions,0.05355386051507317
phase_2_area_fraction_particle,0.032654101353540126
phase_1_area_fraction_particle,0.03246356549328665
phase_3_mean_intensity,0.03168222486503404
particle_std_intensity,0.03146681010965018
phase_1_largest_region_area,0.031144845097855853
phase_1_area,0.030433101779204316
phase_1_area_fraction_image,0.030190567526362462
phase_2_largest_region_area,0.03004471957138624
phase_3_num_regions,0.029724621162676195
phase_2_max_intensity,0.028179730999874905
phase_3_min_intensity,0.026624089485541055
bbox_aspect,0.025870541065143783
phase_2_std_intensity,0.025072609300253585
phase_3_largest_region_area,0.02503023383392969
phase_2_mean_intensity,0.024893028214544945
particle_mean_intensity,0.02488739207609436
phase_1_num_regions,0.023916334338992106
phase_3_std_intensity,0.022565998554625846
bbox_w,0.02234113608502334
phase_1_max_intensity,0.022135835601036068
bbox_h,0.022114846902817446
phase_3_area_fraction_particle,0.02179792034059165
phase_2_area,0.021744700598848796
phase_2_area_fraction_image,0.02164091423906647
phase_1_mean_intensity,0.021543993879922882
phase_1_std_intensity,0.021331253300627503
phase_2_min_intensity,0.021318267271485614
bbox_extent,0.02119661879635021
particle_area_fraction,0.021038331510364883
particle_area,0.020962617820105445
phase_3_area_fraction_image,0.020917973734327026
phase_3_area,0.020819206093614283
phase_3_max_intensity,0.020497351722597704
particle_max_intensity,0.02043554461119923
bbox_y,0.01708041513716501
bbox_x,0.01679470273071099
particle_min_intensity,0.002515437843699476
phase_1_min_intensity,0.002497977305158048
image_h,0.0
image_area,0.0
image_w,0.0
