image_path,mask_path,heat,particle_id,image_h,image_w,image_area,particle_area,particle_area_fraction,bbox_x,bbox_y,bbox_w,bbox_h,bbox_aspect,bbox_extent,particle_mean_intensity,particle_std_intensity,particle_min_intensity,particle_max_intensity,phase_1_area,phase_1_area_fraction_image,phase_1_area_fraction_particle,phase_1_mean_intensity,phase_1_std_intensity,phase_1_min_intensity,phase_1_max_intensity,phase_1_num_regions,phase_1_largest_region_area,phase_2_area,phase_2_area_fraction_image,phase_2_area_fraction_particle,phase_2_mean_intensity,phase_2_std_intensity,phase_2_min_intensity,phase_2_max_intensity,phase_2_num_regions,phase_2_largest_region_area,phase_3_area,phase_3_area_fraction_image,phase_3_area_fraction_particle,phase_3_mean_intensity,phase_3_std_intensity,phase_3_min_intensity,phase_3_max_intensity,phase_3_num_regions,phase_3_largest_region_area,total_phase_regions,SN,inclusion,type,class,label_match
./Heat 1 images/imgs/00002.TIF,outputs_phase_segmentation_preview/phase_masks/Heat_1_images_imgs_00002_phase_mask.png,1,2,128,128,16384,1149,0.07012939453125,40,56,39,41,0.951219512195122,0.7185741088180112,54.66840731070496,35.64314797475628,0,139,329,0.02008056640625,0.2863359442993908,8.319148936170214,10.894002890202431,0,33,5,325,580,0.035400390625,0.504786771105309,61.3051724137931,12.131960105636526,35,81,2,569,240,0.0146484375,0.2088772845953002,102.16666666666669,16.012148165967268,83,139,17,59,24,1-2,1.0,oxy-sulfide,oxy-sulfide,matched
./Heat 1 images/imgs/00003.TIF,outputs_phase_segmentation_preview/phase_masks/Heat_1_images_imgs_00003_phase_mask.png,1,3,128,128,16384,561,0.03424072265625,49,52,30,27,1.1111111111111112,0.6925925925925925,37.34046345811052,37.47398316701819,0,125,266,0.0162353515625,0.4741532976827095,4.353383458646617,7.242518035847477,0,25,1,266,175,0.01068115234375,0.3119429590017825,47.53142857142857,13.287497268991984,27,71,6,120,120,0.00732421875,0.213903743315508,95.6,15.28583222028381,73,125,8,60,15,1-3,1.0,oxide,Al2O3,matched
./Heat 1 images/imgs/00004.TIF,outputs_phase_segmentation_preview/phase_masks/Heat_1_images_imgs_00004_phase_mask.png,1,4,128,128,16384,268,0.016357421875,61,62,19,19,1.0,0.7423822714681441,21.52238805970149,33.2747980511069,0,111,187,0.01141357421875,0.6977611940298507,1.7058823529411764,5.4903043024729286,0,24,1,187,46,0.0028076171875,0.1716417910447761,49.08695652173913,12.209807332020688,27,69,7,12,35,0.00213623046875,0.1305970149253731,91.17142857142858,13.16811238080346,71,111,8,14,16,1-4,0.0,non-inc,non-inc,matched
./Heat 1 images/imgs/00005.TIF,outputs_phase_segmentation_preview/phase_masks/Heat_1_images_imgs_00005_phase_mask.png,1,5,128,128,16384,275,0.01678466796875,66,70,20,18,1.1111111111111112,0.7638888888888888,33.46909090909091,50.387678409877054,0,163,189,0.01153564453125,0.6872727272727273,2.486772486772487,7.630770669580484,0,35,1,189,42,0.0025634765625,0.1527272727272727,71.0952380952381,18.04730493507275,39,99,12,8,44,0.002685546875,0.16,130.63636363636363,19.77727220492676,103,163,9,14,22,1-5,0.0,non-inc,non-inc,matched
./Heat 1 images/imgs/00006.TIF,outputs_phase_segmentation_preview/phase_masks/Heat_1_images_imgs_00006_phase_mask.png,1,6,128,128,16384,1057,0.06451416015625,49,55,39,36,1.0833333333333333,0.7528490028490028,50.76253547776727,35.17628797862928,0,135,348,0.021240234375,0.3292336802270577,8.568965517241379,11.240493407021496,0,33,3,346,525,0.03204345703125,0.4966887417218543,61.04761904761905,11.971538431893531,35,80,5,495,184,0.01123046875,0.1740775780510879,101.21739130434784,15.67386781637327,82,135,20,98,28,1-6,1.0,oxy-sulfide,oxy-sulfide,matched
./Heat 1 images/imgs/00007.TIF,outputs_phase_segmentation_preview/phase_masks/Heat_1_images_imgs_00007_phase_mask.png,1,7,128,128,16384,251,0.01531982421875,109,0,19,16,1.1875,0.8256578947368421,14.56175298804781,31.042047876537787,0,228,211,0.01287841796875,0.8406374501992032,3.080568720379147,7.62187868885665,0,35,1,211,38,0.0023193359375,0.1513944223107569,68.13157894736842,21.218377154859716,37,128,3,24,2,0.0001220703125,0.0079681274900398,208.0,20.0,188,228,1,2,5,1-7,0.0,non-inc,non-inc,matched
./Heat 1 images/imgs/00009.TIF,outputs_phase_segmentation_preview/phase_masks/Heat_1_images_imgs_00009_phase_mask.png,1,9,128,128,16384,269,0.01641845703125,55,69,18,18,1.0,0.8302469135802469,31.074349442379184,48.21029340686521,0,170,190,0.0115966796875,0.7063197026022305,2.931578947368421,8.89237122076996,0,36,1,190,47,0.00286865234375,0.174721189591078,73.95744680851064,19.582838173462545,40,103,13,6,32,0.001953125,0.1189591078066914,135.1875,16.193049241881532,107,170,13,5,27,1-9,0.0,non-inc,non-inc,matched
./Heat 1 images/imgs/00010.TIF,outputs_phase_segmentation_preview/phase_masks/Heat_1_images_imgs_00010_phase_mask.png,1,10,128,128,16384,1019,0.06219482421875,35,54,40,36,1.1111111111111112,0.7076388888888889,46.03827281648675,33.892306313417926,0,133,343,0.02093505859375,0.3366045142296369,8.513119533527696,10.585441755022652,0,31,9,332,528,0.0322265625,0.5181550539744848,54.15151515151515,12.156326977467485,32,78,6,496,148,0.009033203125,0.1452404317958783,104.0608108108108,16.03384357797987,80,133,14,36,29,1-10,1.0,oxy-sulfide,oxy-sulfide,matched
./Heat 1 images/imgs/00011.TIF,outputs_phase_segmentation_preview/phase_masks/Heat_1_images_imgs_00011_phase_mask.png,1,11,128,128,16384,422,0.0257568359375,47,72,25,20,1.25,0.844,28.47867298578199,37.06607741482092,0,163,261,0.01593017578125,0.6184834123222749,3.647509578544061,6.352231599069923,0,24,1,261,87,0.00531005859375,0.2061611374407582,44.793103448275865,13.895453594557244,25,70,5,59,74,0.0045166015625,0.1753554502369668,96.87837837837836,17.30407911814726,72,163,5,47,11,1-11,1.0,oxy-sulfide,oxy-sulfide,matched
./Heat 1 images/imgs/00012.TIF,outputs_phase_segmentation_preview/phase_masks/Heat_1_images_imgs_00012_phase_mask.png,1,12,128,128,16384,855,0.05218505859375,49,46,35,32,1.09375,0.7633928571428571,30.96959064327485,33.15872177356945,0,148,476,0.029052734375,0.5567251461988304,8.046218487394958,8.04046791894754,0,23,5,468,242,0.0147705078125,0.2830409356725146,39.731404958677686,11.945734970126548,25,66,23,154,137,0.00836181640625,0.1602339181286549,95.13868613138686,17.49626966779913,68,148,6,38,34,1-12,1.0,oxy-sulfide,oxy-sulfide,matched
