epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_inclusion,train_recall_inclusion,train_specificity_non_inclusion,val_loss,val_accuracy,val_balanced_accuracy,val_f1_inclusion,val_recall_inclusion,val_specificity_non_inclusion,val_tp,val_tn,val_fp,val_fn
1,0.34057391037944323,0.863498187770373,0.8606565923949601,0.8784044159766703,0.8857382902751523,0.835574894514768,0.26746521183110766,0.8851402170409369,0.892273541525615,0.8770557791834387,0.9456845238095238,0.8388625592417062,3813,4425,850,219
2,0.2484094001310103,0.8992751081491874,0.8979587411165083,0.9095300603833026,0.9095778197857592,0.8863396624472574,0.30733139401511284,0.8766519823788547,0.886509441059204,0.8708951866846604,0.9603174603174603,0.8127014218009478,3872,4287,988,160
3,0.23250664828618925,0.9077516660820765,0.9071963012371085,0.9167194426852439,0.9120982986767486,0.9022943037974683,0.23412094079498397,0.8945954657784463,0.9044427518242684,0.8893900101477055,0.9781746031746031,0.8307109004739337,3944,4382,893,88
4,0.2181932505015029,0.9143575353677073,0.9133714579029509,0.9229960578186597,0.9220751942869145,0.9046677215189873,0.3025065059975259,0.8826689588481788,0.8939214248100504,0.8783964365256124,0.9781746031746031,0.8096682464454976,3944,4271,1004,88
5,0.21677813785254962,0.917046650298141,0.9162028839276931,0.925351149455521,0.9236504935937828,0.9087552742616034,0.23677622562347786,0.8983560760717739,0.9052472635973821,0.8907873470330178,0.9568452380952381,0.8536492890995261,3858,4503,772,174
6,0.20641088515596753,0.9207295685724307,0.9195244307652631,0.9288935500786576,0.9301617307288385,0.9088871308016878,0.17897808363462436,0.93187923068658,0.9317232754081095,0.9220938805603343,0.9305555555555556,0.9328909952606635,3752,4921,354,280
7,0.2011676909262418,0.9235356015433182,0.9224072035712102,0.9313890054553084,0.9323671497584541,0.9124472573839663,0.26138158277937174,0.8887933813258837,0.8999671349582486,0.8845767815322849,0.9836309523809523,0.816303317535545,3966,4306,969,66
8,0.1962595640999747,0.9231263884017303,0.9217578495768627,0.9311482276558982,0.9338374291115312,0.9096782700421941,0.18180214197577915,0.9341355968625765,0.9296520490107576,0.921801250159459,0.8960813492063492,0.9632227488151659,3613,5081,194,419
9,0.19243073942461836,0.9276861919794224,0.9268331631744209,0.9350007881876937,0.9343625288804873,0.9193037974683544,0.19842287626982447,0.9274739443429677,0.9261421894982321,0.9162842614411509,0.9161706349206349,0.9361137440758294,3694,4938,337,338
10,0.19266584165038023,0.927510814918742,0.9258436990686458,0.9352548036758564,0.9405587061541693,0.9111286919831224,0.2741946793017537,0.8771892124207585,0.8863112869555405,0.8707159823549372,0.9546130952380952,0.8180094786729858,3849,4315,960,183
11,0.18588588430242317,0.9314860282941658,0.9302194750863424,0.9386387434554974,0.941398865784499,0.9190400843881856,0.2176634072687065,0.9116793811109917,0.9096078528172722,0.8976593625498007,0.8940972222222222,0.9251184834123223,3605,4880,395,427
12,0.18439351169112186,0.9316029463346195,0.9300695474703485,0.938871473354232,0.9436042848141147,0.9165348101265823,0.1976747464737242,0.9165144514881273,0.9240130143684646,0.9104941826978459,0.9801587301587301,0.867867298578199,3952,4578,697,80
13,0.1790379044010418,0.9328890447796095,0.9315870608770096,0.9399204521666318,0.9430791850451585,0.9200949367088608,0.18311110419720855,0.9266143762759214,0.9284521223576319,0.9175220384011593,0.9422123015873016,0.9146919431279621,3799,4825,450,233
14,0.17816553274961183,0.9336490120425581,0.9322696905766525,0.9406411798546102,0.9444444444444444,0.9200949367088608,0.1731435760932201,0.9370366390888578,0.9356301718949823,0.9271687795177729,0.9250992063492064,0.9461611374407582,3730,4991,284,302
15,0.1716260920957865,0.9381503566000234,0.9365142331948133,0.9448038397328881,0.9509556815795001,0.9220727848101266,0.26100971689905256,0.904910282583002,0.8928828847889867,0.8797390949857318,0.8028273809523809,0.9829383886255925,3237,5185,90,795
